Student_ID,3_Path_Q1,3_Path_Q2,3_Path_Q3,3_Path_Q4,3_Path_Qa,3_Path_Qb,1_Path_Q1,1_Path_Q2,1_Path_Q3,1_Path_Q4,1_Path_Qa,1_Path_Qb,2_Path_Q1,2_Path_Q2,2_Path_Q3,2_Path_Q4,2_Path_Qa,2_Path_Qb,4_Path_Q1,4_Path_Q2,4_Path_Q3,4_Path_Q4,4_Path_Qa,4_Path_Qb,Preferred_Career_Path
1,6,5,8,8,7,7,8,5,6,6,6,5,7,8,5,8,7,6,7,5,8,6,5,7,1
2,6,6,6,5,8,8,6,5,7,7,6,6,5,7,8,5,8,5,7,8,5,6,5,5,2
3,6,6,8,7,5,5,7,7,8,7,5,7,7,5,7,7,5,6,6,6,7,7,8,8,3
4,8,8,6,5,7,7,5,7,5,5,5,6,7,6,8,6,6,7,5,6,6,7,6,6,1
5,8,6,6,8,6,6,7,6,6,8,7,7,6,6,6,8,6,5,7,7,8,6,8,7,2
6,8,6,5,7,6,8,5,7,6,5,5,5,8,7,7,7,7,7,8,7,8,6,7,7,1
7,7,6,7,5,5,6,8,6,7,8,6,8,7,6,7,8,5,8,8,8,8,6,7,6,3
8,7,5,7,6,6,6,8,5,7,7,8,8,5,5,5,8,8,5,5,7,7,5,5,5,2
9,8,7,6,6,7,6,6,7,7,6,7,6,8,5,5,6,5,5,8,6,5,5,7,6,2
10,7,6,7,5,5,6,7,8,7,5,6,8,7,6,8,7,6,5,6,8,8,5,6,6,3
11,5,6,7,5,6,5,8,8,8,5,6,7,7,6,5,5,8,6,7,7,5,7,8,5,3
12,6,5,5,6,8,8,8,7,8,6,5,6,8,8,7,5,5,6,8,6,6,5,5,5,4
13,6,7,7,7,5,5,7,8,7,6,5,5,6,6,7,6,7,8,5,8,6,7,6,5,3
14,7,6,6,8,8,7,6,6,8,5,6,6,7,5,5,5,6,5,5,8,5,6,7,5,2
15,6,7,7,8,7,5,7,5,5,5,5,6,5,8,6,5,7,7,7,7,7,7,7,5,1
16,7,7,8,8,6,6,8,8,6,6,5,5,7,8,5,7,6,6,8,8,5,7,6,5,1
17,6,8,7,8,6,8,8,8,8,5,5,7,7,5,5,5,6,8,7,5,7,6,8,5,2
18,5,6,7,6,8,5,7,6,6,7,8,6,7,6,5,5,8,7,8,8,8,8,7,6,3
19,7,5,5,5,8,7,7,8,8,7,5,6,6,8,7,8,6,8,5,8,5,8,6,8,3
20,7,8,7,5,5,6,5,5,8,8,7,6,8,6,7,6,7,5,8,8,8,8,7,8,3
21,5,7,8,8,6,8,7,6,6,6,5,7,7,7,7,7,6,8,5,8,7,5,6,8,4
22,6,7,7,8,7,5,7,5,5,5,6,8,5,5,7,5,8,7,7,6,5,7,8,7,1
23,6,5,7,6,6,7,8,7,5,7,7,6,5,7,8,5,5,6,6,8,5,6,5,6,2
24,5,7,6,8,5,5,8,8,7,6,7,6,5,5,7,6,7,5,6,7,8,7,5,7,3
25,8,5,7,5,7,6,7,7,7,8,7,8,8,7,6,8,5,8,5,5,8,5,7,6,4
26,5,6,5,7,7,5,8,7,8,8,8,7,8,6,5,6,7,7,5,7,8,7,6,5,3
27,8,8,7,6,6,7,7,5,6,6,5,5,6,7,8,7,7,5,6,7,5,8,8,8,1
28,6,5,6,8,7,8,6,8,5,8,6,7,8,5,7,5,6,5,6,6,5,5,5,6,2
29,6,8,8,5,7,7,6,8,7,6,8,6,7,8,8,7,7,6,5,5,5,7,5,6,4
30,7,8,7,5,8,7,8,8,8,5,8,7,5,6,6,5,5,5,8,6,7,8,7,8,2
31,6,6,8,8,6,8,5,7,7,8,5,7,8,6,6,8,8,8,6,5,8,6,6,5,1
32,8,8,7,5,7,7,6,7,7,7,6,6,7,6,6,5,7,8,7,5,8,6,8,8,3
33,8,7,8,5,7,7,5,7,7,8,7,8,8,7,7,6,6,8,6,6,6,5,8,8,3
34,5,5,8,8,6,7,8,5,8,7,7,6,7,8,8,8,7,5,6,6,7,6,7,7,3
35,6,8,6,7,5,6,5,7,6,8,7,8,6,8,5,7,5,7,7,6,6,6,5,8,2
36,8,6,6,5,8,7,6,7,5,7,7,8,6,6,5,6,6,6,7,5,6,5,8,7,4
